Syntax version=4
Fri Apr 28 14:34:06 2017
Starting process (2666410000 clocks per sec)

LogRawData=false
VarHeader=1
D:		new_0	new_1	new_2	new_3
D:	time(ms)	(0x20000644,2)	(0x20000646,2)	(0x20000648,2)	(0x2000064a,2)
D:	1148.58	421	10	1386	0
D:	1154.60	420	4	1386	0
D:	1160.56	421	5	1388	0
D:	1166.56	420	5	1386	0
D:	1172.56	420	6	1386	0
D:	1178.56	420	2	1388	0
D:	1184.55	419	2	1389	0
D:	1190.57	419	6	1387	0
D:	1196.56	420	3	1387	0
D:	1202.55	421	1	1387	0
D:	1208.57	420	6	1385	0
D:	1214.57	419	1	1387	0
D:	1220.55	420	3	1387	0
D:	1226.56	420	5	1387	0
D:	1232.57	421	10	1388	0
D:	1238.57	419	3	1387	0
D:	1244.56	419	1	1388	0
D:	1250.55	420	3	1386	0
D:	1256.58	419	4	1387	0
D:	1262.56	420	5	1388	0
D:	1268.59	419	0	1387	0
D:	1274.56	418	2	1389	0
D:	1280.57	419	1	1387	0
D:	1286.56	418	2	1387	0
D:	1292.55	420	4	1384	0
D:	1298.61	421	1	1386	0
D:	1304.56	420	2	1388	0
D:	1310.55	420	0	1386	0
D:	1316.56	419	2	1387	0
D:	1322.58	419	5	1386	0
D:	1328.58	419	0	1387	0
D:	1334.56	420	1	1388	0
D:	1340.58	420	1	1386	0
D:	1346.56	419	3	1386	0
D:	1352.56	419	1	1385	0
D:	1358.55	420	7	1390	0
D:	1364.58	421	0	1387	0
D:	1370.55	418	6	1388	0
D:	1376.55	420	7	1386	0
D:	1382.57	420	1	1388	0
D:	1388.56	420	4	1389	0
D:	1394.55	418	1	1387	0
D:	1400.55	418	1	1388	0
D:	1406.57	419	3	1387	0
D:	1412.60	418	7	1384	0
D:	1418.57	419	4	1387	0
D:	1424.60	419	4	1387	0
D:	1450.26	423	7	1386	0
D:	1456.57	420	5	1385	0
D:	1462.56	421	7	1389	0
D:	1468.56	421	1	1385	0
D:	1474.58	422	4	1385	0
D:	1480.56	422	4	1387	0
D:	1486.56	420	5	1387	0
D:	1492.55	420	0	1387	0
D:	1498.57	423	5	1390	0
D:	1504.56	420	1	1390	0
D:	1510.55	420	1	1387	0
D:	1516.55	422	3	1387	0
D:	1522.56	422	3	1386	0
D:	1528.55	422	4	1386	0
D:	1534.56	423	4	1386	0
D:	1540.57	446	4	1386	0
D:	1546.57	445	6	1385	0
D:	1552.55	446	3	1385	0
D:	1558.55	446	6	1388	0
D:	1564.56	446	2	1388	0
D:	1570.61	446	3	1386	0
D:	1576.55	446	4	1385	0
D:	1582.55	445	5	1384	0
D:	1588.56	445	3	1388	0
D:	1594.55	446	6	1387	0
D:	1600.55	446	2	1387	0
D:	1606.58	446	2	1389	0
D:	1612.55	446	4	1388	0
D:	1618.54	471	2	1386	0
D:	1624.55	475	6	1385	0
D:	1630.56	496	3	1388	0
D:	1636.55	502	5	1387	0
D:	1642.55	511	1	1389	0
D:	1648.58	511	2	1387	0
D:	1654.55	550	4	1388	0
D:	1660.55	571	2	1387	0
D:	1666.55	572	0	1385	0
D:	1672.56	599	1	1384	0
